제목,링크,작성일자
"역사문화계 20만 명,윤석열후보 지지 선언",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14808&NewsNumb=20220314808,2022.03.03
"4개사 공동, 이재명 31%윤석열40% 안철수 8%… 방송 3사, 이재명 35%윤석열39% 안철수 8%",https://www.chosun.com/politics/politics_general/2022/02/18/4V2NY3ZHO5BGXCWFYU4A22F35Q/,2022.02.18
윤석열“기초연금 월 최대 30만원→40만원 인상” 공약,https://biz.chosun.com/policy/politics/election2022/2022/02/16/I76FBLMFV5F27C4POFQKH5POEI/,2022.02.16
"[대선영상]윤석열, 李 향해 “우크라 대통령 결사항전 중인데, 제정신인가”",https://www.chosun.com/politics/election2022/2022/02/28/GLJZYRVXJNBHBOIV27R3CO5MTA/,2022.02.28
"윤석열“이재명, 우크라 국민 조롱…北남침도 우리가 자초했나”",https://www.chosun.com/politics/election2022/2022/03/01/GEVE4TJBLNFXZIV24AXP4CHYHI/,2022.03.01
추미애 “윤석열국민이 키웠다?…‘추-윤 갈등’으로 본질 못봐”,https://biz.chosun.com/policy/politics/election2022/2022/02/16/6HXTPQONERDLLOIPPOJMNF76M4/,2022.02.16
"전국의 기독교 목사 783명,윤석열후보 지지 선언",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14728&NewsNumb=20220214728,2022.02.24
"윤석열“이재명의 민주당 아닌, DJ·盧의 민주당과 협치”",https://www.chosun.com/politics/election2022/2022/02/22/5J2BZFAUHFHFPPH3BBTYYVMOTY/,2022.02.22
이재명 “대장동은윤석열게이트…尹 몸통 100% 확신”,https://www.chosun.com/politics/election2022/2022/02/23/J2UH44P2ZZAGVGA27EUYGGY4RU/,2022.02.23
"윤석열“李, 안보관 부족” 이재명 “尹, 안방 장비”",https://www.chosun.com/politics/politics_general/2022/02/25/WEZLP7J6MVHHPGIBR6V43CKVFA/,2022.02.25
"[대선영상]윤석열, 安단일화 후 “양식있는 민주당 정치인과 협치 할 것”",https://www.chosun.com/politics/election2022/2022/03/03/K4KUOLDBTJAJXCE42G3LZKVQOU/,2022.03.03
‘박근혜는 범죄자냐’ 물음에…윤석열“검사는 공소장으로 말해”,https://biz.chosun.com/policy/politics/election2022/2022/02/25/7P6ZU42QRVB5RDS46AUOVIKWQM/,2022.02.25
"윤석열, 이재명 향해 “우크라 대통령 결사항전 중인데, 제정신인가”",https://biz.chosun.com/policy/politics/election2022/2022/02/28/PAPAFB44QZDLNDR66WAQI4CJHI/,2022.02.28
윤석열“추경 방역지원금 300만원은 불충분…최대 1000만원 지원”,https://biz.chosun.com/policy/politics/election2022/2022/02/26/4UIRYHXLJZDL3AUIQFAXMNDMOY/,2022.02.26
"광주.전남 엄마들 1천명,윤석열후보 지지선언",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14773&NewsNumb=20220214773,2022.02.28
"윤석열“민주당, 선거 때 국민 속이는 것은 올림픽 금메달감”",https://biz.chosun.com/policy/politics/election2022/2022/02/16/U25EMV5J7NAK5MRSWEUBZYA5IA/,2022.02.16
"이준석 “윤석열, 견고한 지지세 구축…호남 목표 더 올렸다”",https://biz.chosun.com/policy/politics/election2022/2022/02/16/72GBV7AJSNHCHGK3AVZS4E4WFE/,2022.02.16
"윤석열, 광주서 ‘스타필드 없는 설움’ 자극…“민주당이 유치 반대”",https://biz.chosun.com/policy/politics/election2022/2022/02/16/OIQANWEMPNBZDL5UZCBVLXS234/,2022.02.16
윤석열46.3% 이재명 43.1%…오차범위 내 접전 [리얼미터],https://biz.chosun.com/policy/politics/election2022/2022/03/02/QW2V2JAHINCAPBABN45JGYE5HU/,2022.03.02
"윤석열42.9% 이재명 38.7%…尹·李 격차, 오차범위 밖으로[리얼미터]",https://biz.chosun.com/policy/politics/electionpoll/2022/02/20/AQ6BKL2XCFFLJIJDJLJ65EPZT4/,2022.02.20
윤석열42.7% 이재명 42.6% 초접전…안철수 6.5%[한길리서치],https://biz.chosun.com/policy/politics/electionpoll/2022/02/22/BBTB5CUZ65FH5AX5EEITUMNWIM/,2022.02.22
[강인선·배성규의 정치펀치] 尹 외교 책사 김성한 “윤석열외교에 혼밥은 없다”,https://www.chosun.com/politics/politics_general/2022/02/15/QXDSMGLCCNBDFHJO4DKYWHGFJA/,2022.02.15
[대선영상]윤석열“진영 관계없이 국민 약탈행위 벌 받아야... 그걸 정치보복이라고 국민을 속이냐”,https://www.chosun.com/politics/election2022/2022/02/17/P5BNJK3PEBFI3LD2GHFFPPOYMQ/,2022.02.17
"윤석열“이재명, 민주당이 군사독재와 다를 바 없다고 스스로 인정”",https://biz.chosun.com/policy/politics/election2022/2022/03/06/Y5AA7QPZ4NFF3JVTYDCGZSZYAY/,2022.03.06
윤석열“양식있는 여당 분들과도 협치하겠다”,https://www.chosun.com/politics/election2022/2022/03/04/5BGA62X5KVCE7BVQDMJW6XZIYU/,2022.03.04
윤석열“민주당 정권 연장되면 이 땅에 자유민주주의 사라진다”,https://biz.chosun.com/policy/politics/election2022/2022/03/04/NGLXGGK6YBBB7LGFOD4CDTCHHU/,2022.03.04
"윤석열“文정부 부동산 정책, 사기 행각을 무능으로 덮은 것”",https://biz.chosun.com/policy/politics/election2022/2022/03/06/XPC5VLQRBNESVD6I2HPM65V2QU/,2022.03.06
"대장동 때린윤석열“李, 대통령 땐 나라 꼬라지 어떻게 되겠나”",https://www.chosun.com/politics/election2022/2022/02/17/JUPWUN2GUJEFZCLR3CUH2HT2BA/,2022.02.17
"윤석열, 이재명 향해 “아주 지독한 부패사범, 다 남한테 뒤집어 씌운다”",https://biz.chosun.com/policy/politics/election2022/2022/02/22/CCM45WDHD5BTZI43KRMUKJM3EY/,2022.02.22
"윤석열, 與 겨냥 “버르장머리 없어져 국민을 선거 공작 대상으로”",https://biz.chosun.com/policy/politics/election2022/2022/02/28/ANWW3PHSMZBRHBRELKABBM2RJM/,2022.02.28
윤석열“우크라 전쟁 위기 틈타 北도발 가능성…핵우산 강화해야”,https://biz.chosun.com/policy/politics/2022/02/20/BKQWQ35GS5HNVHDPDNQH7VGZAQ/,2022.02.20
"윤석열, 安 유세버스 사망사고 조문…“로고송·율동 없이 유세”",https://biz.chosun.com/policy/politics/election2022/2022/02/16/DR5QSWJOJNCCTINGDHHGK73OLU/,2022.02.16
"윤석열, 이재명 ‘우크라이나 대통령이 자극’ 발언에 “왜곡된 안보관”",https://biz.chosun.com/policy/politics/election2022/2022/02/26/SFRPGU73CBGH3EX6KOKOT77TOA/,2022.02.26
"선거 하루 전, 양당 메시지는...與 ‘윤석열비난’ 野 ‘투표 독려’",https://biz.chosun.com/policy/politics/election2022/2022/03/08/5YMOFERXXNDV3PLHBEBV5I7O5I/,2022.03.08
심상정 “주식양도세 폐지는 이재용 감세법”윤석열“개미 위한 것”,https://biz.chosun.com/policy/politics/election2022/2022/02/21/5UZFJLWZ4JFRLJ7VQ5YETG3PRY/,2022.02.21
"尹 지지 신평 ""윤석열, 안철수 집에 찾아가라""",http://weekly.chosun.com/client/news/viw.asp?ctcd=C03&nNewsNumb=002696100043,2022.02.23
"윤석열“마크롱, ‘탈원전’ 뒤집고 ‘원전 유턴’…원전 최강국 건설하겠다”",https://biz.chosun.com/policy/politics/election2022/2022/02/21/TPXEPTSXXZBGDPPLEMUI2AOIK4/,2022.02.21
"[대선영상]윤석열, 이재명 겨냥해 “돼먹지 못한 머슴, 갈아치워야”",https://www.chosun.com/politics/election2022/2022/03/07/AK646QLV3VCU3LJ4NPHJ3VPS3M/,2022.03.07
"윤석열“이재명, 복합쇼핑몰을 증오 이용 포퓰리즘이라고…與 얘기인 줄”",https://biz.chosun.com/policy/politics/election2022/2022/02/19/RM3IN365GJAHHPDHOYMCZL6Z6I/,2022.02.19
"대학 교수 461명,윤석열-안철수 단일화 촉구",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14756&NewsNumb=20220214756,2022.02.27
윤석열“안철수 단일화 사퇴는 ‘철수’ 아니라 ‘진격’한 것”,https://www.chosun.com/politics/election2022/2022/03/04/4DTTBG7GSZFRFHWEVP7A6A2XM4/,2022.03.04
"윤석열, 與 송영길 피습에 “선거 방해하는 폭력, 정당화 될 수 없다”",https://biz.chosun.com/policy/politics/election2022/2022/03/07/RSBIXAWFQ5H67HYR26SQMMYTHI/,2022.03.07
"이재명 40.4%,윤석열43.6%, 안철수 5.9% [미디어리서치]",https://www.chosun.com/politics/election2022/2022/02/17/RCVUUXRLZJA75JZWDMYJGVXBMQ/,2022.02.17
"김종국,윤석열대선후보 공개 지지 ""기를 팍팍 밀어주십쇼""",https://www.chosun.com/entertainments/entertain_photo/2022/02/18/S2XZF2NL2U74Z4FL5GJIDFA2TE/,2022.02.18
이재명 34.1%윤석열42.4%... 50대 지지율 뒤집혔다 [글로벌리서치],https://www.chosun.com/politics/election2022/2022/02/21/OJ4AN2DBDVATJMRBXSQDMQW2AE/,2022.02.21
윤석열“일일 확진자 ‘세계 1위’…이게 정부고 나라냐”,https://biz.chosun.com/policy/politics/election2022/2022/02/24/VXMWW2P7WZBV7EKMTQX2WMCQ2Y/,2022.02.24
윤석열“與 거짓선동…저같이 무감각하고 맷집 있는 사람 끄떡없다”,https://biz.chosun.com/policy/politics/election2022/2022/02/19/MOLBH6DWDJCB5KWA2JTYJ4JNMY/,2022.02.19
단일화시윤석열47.4% 이재명 41.5%…오차범위 밖 尹우세[엠브레인],https://biz.chosun.com/policy/politics/electionpoll/2022/03/03/3IOXXOKWANF6NIBPNBLL7STBS4/,2022.03.03
"윤석열, 李 향해 “결사항전하는 우크라 대통령 모욕줘...외교 제대로 하겠나”",https://www.chosun.com/politics/election2022/2022/02/26/FBNF56VITZFAZCW2JQRD3UCFJI/,2022.02.26
"윤석열“이재명, 침공 당한 우크라 국민 조롱…北 남침 우리가 자초했나”",https://biz.chosun.com/policy/politics/election2022/2022/03/01/GJ2U2IGB4BF6LF64JVJFACWWVI/,2022.03.01
윤석열“뭣하러 QR 코드 찍었나...국민 불편한건 골라서 해”,https://www.chosun.com/politics/election2022/2022/03/05/SKSAC7I7SNGXZIKKT7XB3YOC7U/,2022.03.05
"윤석열, 거제 찾아 YS 생가 방문 “개혁정치 되새기고 배우겠다”",https://biz.chosun.com/policy/politics/election2022/2022/02/19/EFSABEILLNER5OALXJPJAXTWAI/,2022.02.19
"과학기술인 1250명, 국민의힘윤석열후보 지지 선언",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14738&NewsNumb=20220214738,2022.02.25
윤석열“투표로 심판해 갈아치워야 여러분이 나라의 주인 된다”,https://biz.chosun.com/policy/politics/election2022/2022/03/04/6AXS33KMI5F7LJPJ5E2N7WQYYQ/,2022.03.04
[대선후보의 산행-윤석열] “나는 누구나 편히 오르는 동네 뒷산 같은 사람”,http://san.chosun.com/site/data/html_dir/2022/02/21/2022022100741.html,2022.02.21
